6840	Commandos 3: Destination Berlin	http://www.metacritic.com/game/pc/commandos-3-destination-berlin
6850	Hitman 2: Silent Assassin	http://www.metacritic.com/game/pc/hitman-2-silent-assassin
6870	Battlestations: Midway	http://www.metacritic.com/game/pc/battlestations-midway
6910	Deus Ex: Game of the Year Edition	http://www.metacritic.com/game/pc/deus-ex
6920	Deus Ex: Invisible War	http://www.metacritic.com/game/pc/deus-ex-invisible-war
6940	Battlestations: Midway Multiplayer Demo	http://www.metacritic.com/game/pc/battlestations-midway
6980	Thief: Deadly Shadows	http://www.metacritic.com/game/pc/thief-deadly-shadows
7000	Tomb Raider: Legend	http://www.metacritic.com/game/pc/tomb-raider-legend
7010	Project: Snowblind	http://www.metacritic.com/game/pc/project-snowblind
7020	Rogue Trooper	http://www.metacritic.com/game/pc/rogue-trooper
7030	Tomb Raider: Legend Demo	http://www.metacritic.com/game/pc/tomb-raider-legend
7050	Project: Snowblind Demo	http://www.metacritic.com/game/pc/project-snowblind
7110	Jade Empire: Special Edition	http://www.metacritic.com/game/pc/jade-empire-special-edition
7200	TrackMania United	http://www.metacritic.com/game/pc/trackmania-united
7210	Runaway: A Road Adventure	http://www.metacritic.com/game/pc/runaway-a-road-adventure
7220	Runaway: The Dream of the Turtle	http://www.metacritic.com/game/pc/runaway-the-dream-of-the-turtle
7230	Runaway, The Dream of the Turtle Demo	http://www.metacritic.com/game/pc/runaway-the-dream-of-the-turtle
7260	Loki	http://www.metacritic.com/game/pc/loki-heroes-of-mythology
7280	Loki Egyptian Demo	http://www.metacritic.com/game/pc/loki-heroes-of-mythology
7290	Sherlock Holmes: The Awakened Demo	http://www.metacritic.com/game/pc/sherlock-holmes-the-awakened
7610	Railroad Tycoon 3	http://www.metacritic.com/game/pc/railroad-tycoon-3
7620	Railroad Tycoon 2: Platinum	http://www.metacritic.com/game/pc/railroad-tycoon-ii
7770	X-COM: Enforcer	http://www.metacritic.com/game/pc/x-com-enforcer
7830	Men of War	http://www.metacritic.com/game/pc/men-of-war
7840	Death Track: Resurrection	http://www.metacritic.com/game/pc/death-track-resurrection
7860	NecroVisioN	http://www.metacritic.com/game/pc/necrovision
7890	Men of War - Demo	http://www.metacritic.com/game/pc/men-of-war
8000	Tomb Raider: Anniversary	http://www.metacritic.com/game/pc/tomb-raider-anniversary
8030	Tomb Raider: Anniversary Demo	http://www.metacritic.com/game/pc/tomb-raider-anniversary
8140	Tomb Raider: Underworld	http://www.metacritic.com/game/pc/tomb-raider-underworld
8150	Tomb Raider: Underworld Demo	http://www.metacritic.com/game/pc/tomb-raider-underworld
8160	Shellshock 2: Blood Trails	http://www.metacritic.com/game/pc/shellshock-2-blood-trails
8170	Battlestations: Pacific	http://www.metacritic.com/game/pc/battlestations-pacific
8180	Battlestations: Pacific - Demo	http://www.metacritic.com/game/pc/battlestations-pacific
8310	Bone: Out from Boneville	http://www.metacritic.com/game/pc/bone-out-from-boneville
8320	Bone: The Great Cow Race	http://www.metacritic.com/game/pc/bone-the-great-cow-race
8340	Strong Bad Episode 1: Homestar Ruiner	http://www.metacritic.com/game/pc/strong-bads-cool-game-for-attractive-people-episode-5-8-bit-is-enough
8350	Strong Bad Episode 2: Strong Badia the Free	http://www.metacritic.com/game/pc/strong-bads-cool-game-for-attractive-people-episode-5-8-bit-is-enough
8360	Strong Bad Episode 3: Baddest of the Bands	http://www.metacritic.com/game/pc/strong-bads-cool-game-for-attractive-people-episode-5-8-bit-is-enough
8370	Strong Bad Episode 4: Dangeresque 3	http://www.metacritic.com/game/pc/strong-bads-cool-game-for-attractive-people-episode-5-8-bit-is-enough
8380	Strong Bad Episode 5: 8-Bit Is Enough	http://www.metacritic.com/game/pc/strong-bads-cool-game-for-attractive-people-episode-5-8-bit-is-enough
8400	Geometry Wars: Retro Evolved	http://www.metacritic.com/game/pc/geometry-wars-retro-evolved
8500	Eve Online: Inferno	http://www.metacritic.com/game/pc/eve-online-special-edition
8510	EVE Online Demo	http://www.metacritic.com/game/pc/eve-online-special-edition
8600	RACE 07	http://www.metacritic.com/game/pc/race-07-official-wtcc-game
8660	GTR Evolution	http://www.metacritic.com/game/pc/gtr-evolution
8720	GTR Evolution Demo	http://www.metacritic.com/game/pc/gtr-evolution
8800	Sid Meier's Civilization IV: Beyond the Sword	http://www.metacritic.com/game/pc/sid-meiers-civilization-iv-beyond-the-sword
8820	Sid Meier's Civilization IV: Beyond the Sword - Final Frontier Demo	http://www.metacritic.com/game/pc/sid-meiers-civilization-iv-beyond-the-sword
8880	Freedom Force	http://www.metacritic.com/game/pc/freedom-force
8900	Freedom Force - Demo	http://www.metacritic.com/game/pc/freedom-force
8930	Sid Meier's Civilization V	http://www.metacritic.com/game/pc/sid-meiers-civilization-v
9010	Return to Castle Wolfenstein	http://www.metacritic.com/game/pc/return-to-castle-wolfenstein
9090	Quake III: Team Arena Demo	http://www.metacritic.com/game/pc/quake-iii-team-arena
9350	Supreme Commander	http://www.metacritic.com/game/pc/supreme-commander
9420	Supreme Commander: Forged Alliance	http://www.metacritic.com/game/pc/supreme-commander-forged-alliance
9500	Gish	http://www.metacritic.com/game/pc/gish
9510	Gish Demo	http://www.metacritic.com/game/pc/gish
9710	Desperados 2: Cooper’s Revenge	http://www.metacritic.com/game/pc/desperados-2-coopers-revenge
9730	Tycoon City: New York	http://www.metacritic.com/game/pc/tycoon-city-new-york
9760	Act of War: High Treason	http://www.metacritic.com/game/pc/act-of-war-high-treason
9800	Death to Spies	http://www.metacritic.com/game/pc/death-to-spies
9850	Codename Panzer	http://www.metacritic.com/game/pc/codename-panzers-cold-war
9880	Champions Online: Free For All	http://www.metacritic.com/game/pc/champions-online
9885	Champions Online - Free Trial	http://www.metacritic.com/game/pc/champions-online
9900	Star Trek Online	http://www.metacritic.com/game/pc/star-trek-online
9930	Test Drive Unlimited 2	http://www.metacritic.com/game/pc/test-drive-unlimited-2
9940	Blade Kitten	http://www.metacritic.com/game/pc/blade-kitten
9950	Blade Kitten Demo	http://www.metacritic.com/game/pc/blade-kitten
9980	The UnderGarden	http://www.metacritic.com/game/pc/the-undergarden
9985	The Undergarden Demo	http://www.metacritic.com/game/pc/the-undergarden
9990	Ghostbusters: Sanctum of Slime	http://www.metacritic.com/game/pc/ghostbusters-sanctum-of-slime
9992	Ghostbusters Sanctum of Slime Challenge Pack	http://www.metacritic.com/game/pc/ghostbusters-sanctum-of-slime
